Site,Year,DOTYfirst,DOTY1pct,DOTY5pct,DOTY10pct,DOTY25pct,DOTY50pct,DOTY75pct,DOTY90pct,DOTY95pct,DOTY99pct,DOTYlast,DOTYpeak,totalLength,peakMoths,peak_totalMoths,totalMoths,avgTemp,totalPrecipitation
Aurora,1981,184,184,185,186,188,192,194,201,203,204,204,193,20,17,0.124087591,137,73.6,8.43
Aurora,1982,191,198,198,198,202,203,204,208,211,218,218,204,27,64,0.230215827,278,71.5,12.9
Aurora,1983,196,201,201,202,204,211,215,219,221,229,232,214,36,68,0.120141343,566,77.1,10.04
Aurora,1984,199,199,200,200,203,207,210,218,225,225,226,207,27,32,0.153110048,209,75.8,7.15
Aurora,1985,186,186,193,193,195,195,197,200,202,207,209,195,23,200,0.365630713,547,71.6,9.43
Aurora,1986,187,187,187,187,188,192,195,202,202,204,205,187,18,60,0.12793177,469,74.4,9.35
Aurora,1987,181,181,182,182,184,186,188,191,193,196,196,186,15,65,0.19005848,342,74.6,8.07
Aurora,1988,187,189,190,192,192,194,198,202,204,208,213,192,26,112,0.190152801,589,76,11.11
Aurora,2000,171,179,180,181,185,188,190,192,194,198,208,185,37,780,0.117860381,6618,74.7,7.72
Aurora,2001,171,176,191,193,195,198,199,202,203,208,212,199,41,688,0.198556999,3465,75.5,5.67
Aurora,2002,173,183,186,187,189,191,194,197,198,200,212,194,39,816,0.133268006,6123,77.3,5.37
Aurora,2003,173,182,187,188,192,199,202,205,207,210,216,203,43,736,0.091089109,8080,74.3,4.8
Aurora,2004,172,181,185,189,189,190,193,195,198,201,232,189,60,4160,0.272768999,15251,70.3,6.71
Aurora,2005,175,184,186,188,191,194,197,202,205,213,215,192,40,96,0.141802068,677,74.6,10.39
ClayCenter,1994,188,188,188,189,190,193,199,201,202,208,209,199,21,43,0.228723404,188,72.8,12
ClayCenter,1995,194,195,200,201,206,207,208,209,209,209,209,206,15,59,0.257641921,229,74,4.46
ClayCenter,1996,192,193,198,199,201,205,209,214,215,215,215,207,23,14,0.109375,128,72.3,15.95
ClayCenter,1997,196,196,202,202,203,205,210,212,212,226,226,203,30,11,0.152777778,72,73.1,10.6
ClayCenter,1999,182,183,188,189,193,195,196,201,209,213,214,195,32,18,0.141732283,127,72.7,14.27
ClayCenter,2000,173,178,181,182,186,189,191,194,197,202,221,188,48,243,0.125972006,1929,74.2,12.06
ClayCenter,2001,172,185,188,190,193,196,198,202,203,209,220,197,48,186,0.138289963,1345,74.1,8.94
ClayCenter,2002,180,183,185,186,188,191,195,199,205,217,231,190,51,142,0.130634775,1087,76.4,4.34
ClayCenter,2003,178,184,186,189,196,200,206,208,209,214,217,200,39,115,0.076666667,1500,74.1,7.34
ClayCenter,2004,167,178,190,190,191,193,195,198,200,202,222,193,55,306,0.132067328,2317,69.6,8.79
ClayCenter,2005,175,180,184,184,187,190,192,197,199,203,214,192,39,480,0.099875156,4806,75.5,6.48
ClayCenter,2006,163,174,177,179,181,185,189,193,196,201,212,187,49,1013,0.111834842,9058,75.5,10.51
ClayCenter,2007,164,173,180,181,183,186,196,201,203,205,212,186,48,238,0.11349547,2097,75,11.86
ClayCenter,2008,178,184,191,193,197,200,205,205,206,211,215,205,37,108,0.199630314,541,73.1,11.11
ClayCenter,2009,180,184,190,190,192,194,196,201,202,215,218,194,38,85,0.268138801,317,71.3,8.19
ClayCenter,2012,164,167,172,173,174,177,179,183,184,187,210,177,46,251,0.145422943,1726,75.7,11.06
ClayCenter,2013,180,187,189,191,193,196,197,199,203,210,218,196,38,118,0.162758621,725,74,9.69
ClayCenter,2014,185,188,189,190,192,197,201,203,205,218,225,197,40,15,0.085227273,176,72.9,18.26
ClayCenter,2015,184,187,191,191,193,195,199,201,203,208,208,195,24,88,0.187234043,470,73.7,16.3
ClayCenter,2016,175,181,184,185,188,192,194,196,198,204,214,193,39,111,0.122381477,907,75.7,5.22
ClayCenter,2017,171,179,181,182,184,189,195,200,203,208,225,184,54,249,0.086699164,2872,74.4,7.24
ClayCenter,2018,178,183,185,186,188,191,193,195,197,200,217,191,39,1140,0.124508519,9156,74.6,15.41
ClayCenter,2019,183,188,192,193,194,197,199,202,204,209,218,197,35,864,0.179850125,4804,73.4,16.69
Concord,1981,187,187,188,188,192,195,203,205,210,210,210,192,23,13,0.265306122,49,72.5,10.35
Concord,1984,191,198,201,205,205,208,213,219,219,226,227,205,36,46,0.258426966,178,73.8,11.05
Concord,1990,197,197,199,199,204,207,213,214,219,219,219,213,22,8,0.181818182,44,74.1,11.86
Concord,1991,191,191,191,193,198,210,217,219,219,219,219,218,28,5,0.128205128,39,75,9.4
Concord,1992,205,205,205,205,206,209,211,217,219,219,219,209,14,9,0.333333333,27,68.3,14.97
Concord,1993,165,165,203,204,210,216,218,222,223,228,230,218,65,95,0.235148515,404,71.3,16.4
Concord,1994,186,186,192,192,195,199,206,213,215,220,224,199,38,152,0.149606299,1016,71.5,13.31
Concord,1995,191,200,202,205,206,209,212,214,219,226,229,212,38,872,0.291931704,2987,74.8,6.52
Concord,1996,200,204,205,207,211,213,218,219,222,225,232,213,32,31,0.256198347,121,71.5,9.99
Concord,1997,187,187,197,203,208,211,212,219,222,222,222,212,35,7,0.233333333,30,73,5.29
Concord,1998,190,190,195,195,196,201,203,208,208,210,210,201,20,19,0.31147541,61,72.4,17.87
Concord,1999,193,193,194,194,196,201,209,210,214,216,216,196,23,7,0.122807018,57,72.9,13.72
Concord,2000,177,184,187,188,191,195,200,207,212,216,223,191,46,378,0.186666667,2025,73.4,11.44
Concord,2001,187,190,193,193,194,197,200,201,204,221,224,197,37,159,0.238023952,668,74.1,13.02
Concord,2002,183,186,190,192,193,196,198,206,211,220,227,193,44,453,0.254066181,1783,75.6,12.92
Concord,2003,195,197,199,202,202,209,209,212,216,224,227,209,32,652,0.326653307,1996,73.3,10.72
Concord,2004,176,188,191,195,197,201,204,208,212,218,230,201,54,850,0.190412186,4464,69.2,7.94
Concord,2005,175,186,188,189,193,199,202,203,213,230,231,199,56,364,0.214369847,1698,74.2,10.78
Concord,2006,166,181,184,188,191,195,201,205,207,216,230,191,64,445,0.146961691,3028,74.8,9.61
Concord,2007,170,180,187,190,190,194,199,204,204,211,220,190,50,416,0.215991693,1926,74,15.45
Concord,2008,189,193,198,199,207,210,212,217,217,219,235,210,46,92,0.25915493,355,72,7.34
Concord,2009,197,197,201,201,201,204,215,223,225,226,226,201,29,12,0.210526316,57,69.1,12.41
Concord,2010,187,187,193,193,195,195,197,197,197,210,211,195,24,137,0.381615599,359,74.2,19.7
Concord,2011,196,199,200,202,206,206,208,210,213,215,234,206,38,68,0.302222222,225,73.6,11.74
Concord,2012,171,172,177,178,180,188,193,198,200,207,207,191,36,25,0.2,125,74.6,2.85
Concord,2013,196,196,199,200,207,213,241,242,242,242,242,210,46,19,0.107344633,177,71.1,7.5
Concord,2014,188,192,210,230,233,237,240,241,241,241,241,241,53,81,0.201492537,402,69.7,23.02
Concord,2015,189,189,189,194,198,203,208,209,219,219,219,201,30,5,0.147058824,34,70.4,14.43
Concord,2016,197,197,207,211,211,215,228,229,229,229,229,211,32,17,0.257575758,66,74.7,10.66
Concord,2017,163,167,184,193,199,202,205,207,212,215,219,202,56,40,0.213903743,187,72.9,11.58
Concord,2018,184,185,190,191,193,197,199,202,204,208,214,193,30,37,0.136029412,272,72.8,14.36
Concord,2019,196,196,206,208,209,214,227,228,228,228,228,227,32,13,0.196969697,66,72.4,7.69
NorthPlatte,1986,176,185,189,191,195,199,203,208,209,215,223,198,47,192,0.121518987,1580,71,5.44
NorthPlatte,1987,174,182,184,187,190,195,199,202,206,214,221,196,47,223,0.124095715,1797,71.9,7.62
NorthPlatte,1988,176,188,191,192,196,199,203,207,209,214,232,196,56,266,0.089112228,2985,73.7,9.97
NorthPlatte,1989,188,192,195,197,203,206,211,215,216,225,229,207,41,34,0.075723831,449,70.7,8.88
NorthPlatte,1990,179,188,194,196,201,209,211,215,221,226,233,210,54,71,0.098474341,721,72.6,5.42
NorthPlatte,1991,184,191,193,194,195,197,203,209,211,217,224,196,40,168,0.115622849,1453,72.5,6.03
NorthPlatte,1992,178,191,200,202,204,207,209,214,216,220,230,208,52,188,0.103581267,1815,66.3,14.13
NorthPlatte,1993,181,192,199,202,204,206,209,217,220,224,228,204,47,131,0.135190918,969,68,14.65
NorthPlatte,1994,180,187,190,192,196,198,201,208,211,216,230,196,50,360,0.097666848,3686,71.7,8.73
NorthPlatte,1995,191,200,204,207,209,212,216,217,220,227,235,216,44,656,0.14074233,4661,72,5.75
NorthPlatte,1996,194,198,200,202,204,207,214,220,224,231,232,205,38,24,0.083044983,289,70,13.11
NorthPlatte,1997,196,197,199,203,205,208,212,214,216,220,225,206,29,24,0.120603015,199,71.3,12.26
NorthPlatte,1998,189,191,193,194,196,199,205,211,214,217,218,196,29,31,0.142201835,218,71.3,9.99
NorthPlatte,1999,173,188,193,195,198,201,203,207,209,217,225,202,52,346,0.125362319,2760,71.7,12.49
NorthPlatte,2001,180,181,182,183,186,190,194,200,207,213,222,188,42,407,0.127546224,3191,73,8.96
NorthPlatte,2002,184,190,191,192,195,198,202,208,210,212,231,195,47,114,0.184168013,619,75.4,2.75
NorthPlatte,2003,179,179,182,183,190,213,217,218,219,222,223,217,44,26,0.143646409,181,72.7,7.01
NorthPlatte,2005,180,184,189,191,194,198,202,207,211,215,230,194,50,175,0.11682243,1498,72.2,11.4
NorthPlatte,2006,175,179,182,185,188,193,199,201,205,208,213,185,38,123,0.10397295,1183,73.9,9.87
NorthPlatte,2007,172,178,189,192,194,198,202,204,207,211,221,193,49,138,0.086357947,1598,72.3,8.37
NorthPlatte,2008,164,167,171,173,177,179,183,189,190,195,200,180,36,52,0.095940959,542,70.6,8.33
NorthPlatte,2009,182,191,196,197,200,204,209,214,216,222,230,202,48,125,0.107851596,1159,68.4,9.74
NorthPlatte,2010,183,189,192,194,196,200,204,210,213,217,230,196,47,99,0.115116279,860,71.4,12.68
NorthPlatte,2011,186,193,197,200,204,208,212,215,216,219,224,209,38,58,0.089093702,651,71.9,10.82
NorthPlatte,2012,172,175,176,178,180,190,196,200,201,206,216,181,44,122,0.110808356,1101,75.9,2.04
NorthPlatte,2013,182,189,191,195,201,208,212,217,219,224,235,211,53,670,0.100389571,6674,72,4.79
NorthPlatte,2014,182,186,191,193,197,201,205,210,211,215,230,197,48,439,0.092226891,4760,70.2,13.37
NorthPlatte,2015,173,186,190,192,195,199,203,206,207,216,224,196,51,287,0.080324657,3573,71,8.51
NorthPlatte,2016,178,184,188,189,192,198,203,209,211,217,229,200,51,222,0.083490034,2659,71.9,7.79
NorthPlatte,2017,179,185,190,193,196,199,202,206,209,224,245,202,66,297,0.091865141,3233,72.3,8.95
NorthPlatte,2018,171,185,187,188,192,196,200,204,210,218,231,199,60,265,0.082272586,3221,71.3,8.39
NorthPlatte,2019,184,197,204,205,207,210,213,219,221,230,244,208,60,383,0.096231156,3980,69.5,13.78
